Membership No  Date Joined  Active  
    59060      2019-11-4    no    
    23874      2019-10-23   no    
    10546      2019-2-15    no    
    51759      2019-8-15    no    
    22379      2016-9-8     no    
    14076      2020-9-23    no    
    27691      2016-1-3     no    
    80521      2020-5-24    no    
    48121      2016-10-13   no    
    87330      2015-10-4    no    
    83276      2017-8-22    no    
    70425      2017-11-7    no    
    48078      2015-6-12    no    
    57912      2017-11-11   no    
